,0
Arctic Monkeys,"Arctic Monkeys are an indie rock band formed in Sheffield, South Yorkshire, England in 2002 after meeting at Stocksbridge High School. The band consists of Alex Turner (vocals, guitar), Jamie Cook (guitar), Nick O'Malley (backing vocals, bass) and Matt Helders (drums, vocals). Founding bassist Andy Nicholson left in 2006.

The band has released six studio albums: ""Whatever People Say I Am, That's What I'm Not"" (2006), ""Favourite Worst Nightmare"" (2007) <a href=""https://www.last.fm/music/Arctic+Monkeys"">Read more on Last.fm</a>"
Kehlani,"Kehlani Ashley Parrish (born April 24, 1995), known professionally as Kehlani, is an American singer and songwriter who is currently signed to Atlantic Records.

Kehlani is originally from Oakland, California where she achieved initial fame as a member of the teen pop group, Poplyfe, which was a finalist on America's Got Talent. She released her first mixtape, Cloud 19, in 2014. The album was listed among Complex's ""50 Best Albums of 2014."" Kehlani's second mixtape <a href=""https://www.last.fm/music/Kehlani"">Read more on Last.fm</a>"
beabadoobee,"Bea Kristi (born June 3, 2000 in  Philippines), known as beabadoobee, is a London-based folk singer. She has formed her own independent, unique bedroom-acoustic sound pulling the heart-strings with every beat. Her sensational melodies are influenced by the iconic artists such as Alex G, Karen O and Florist.

The singer dropped her first EP, the acoustic guitar based ""Patched Up"" on December 7, 2018. <a href=""https://www.last.fm/music/beabadoobee"">Read more on Last.fm</a>"
6LACK,"Ricardo Valdez Valentine (born June 24, 1992), better known by his stage name 6LACK (pronounced as Black), is an American R&B recording artist from Atlanta, Georgia. He is best known for his single ""PRBLMS"", which was released in June 2016. In 2016, he was named by Rolling Stone as one of the 10 new artists to watch for in the month of November. He is currently signed to LoveRenaissance and Interscope Records. <a href=""https://www.last.fm/music/6LACK"">Read more on Last.fm</a>"
Five Finger Death Punch,"Five Finger Death Punch were formed in 2005 by guitarist Zoltan Bathory (formerly of U.P.O.). The American Capitalist Songfacts states that Bathory came up with the name after being amused by a scene involving a five finger punch in Kill Bill 2.  Other members recruited to the band include former Motograter & Ghost Machine vocalist Ivan Moody, former W.A.S.P. members guitarist Darrell Roberts and drummer Jeremy Spencer, and former Anubis Rising/Deadsett bassist Matt Snell. <a href=""https://www.last.fm/music/Five+Finger+Death+Punch"">Read more on Last.fm</a>"
Gorillaz,"Gorillaz are a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. Canonically speaking, Murdoc Niccals formed the band. The band currently consists of four animated members: 2-D (lead vocals, keyboards), Noodle (guitar, vocals), Murdoc Niccals (bass guitar), and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews, and animated shorts. In reality, Albarn is the only permanent musical contributor, and often collaborates with other musicians. <a href=""https://www.last.fm/music/Gorillaz"">Read more on Last.fm</a>"
Nirvana,"There are multiple artists tracked as 'Nirvana' on Last.fm. Following are six, listed in order of prominence;

1) Nirvana was an American alternative rock band formed in Aberdeen, Washington in 1987. It was founded by lead singer and guitarist Kurt Cobain and bassist Krist Novoselic. Nirvana went through a succession of drummers, the longest-lasting and best-known being Dave Grohl, who joined in 1990. Though the band dissolved in 1994 after the death of Cobain <a href=""https://www.last.fm/music/Nirvana"">Read more on Last.fm</a>"
Rex Orange County,"'Rex Orange County' is Alex O’Connor. A self-taught drummer, Alex grew-up in outskirts of London in Haslemere, Surrey. After applying keys, vocals and anything he could find to write loose-footed, fluid, personable songs about being bored and disillusioned, his self-produced eleven-track debut bedroom album ‘bcos u will never b free’ was released on September 2015. It was followed by the singles  ‘UNO’ (2016) and 'Best friend' in January 2017.

https://rexorangecounty.bandcamp.com
 
 <a href=""https://www.last.fm/music/Rex+Orange+County"">Read more on Last.fm</a>"
Slipknot,"There is more than one artist with this name;

1) Slipknot is an American alternative metal band from Des Moines, Iowa. The band was founded in 1995 by vocalist Anders Colsefni, percussionist Shawn Crahan and bassist Paul Gray. After several lineup changes in its early years, the band settled on nine members for more than a decade: Shawn Crahan, Joey Jordison, Paul Gray, Corey Taylor, Mick Thomson, Jim Root, Craig Jones, Sid Wilson and Chris Fehn. <a href=""https://www.last.fm/music/Slipknot"">Read more on Last.fm</a>"
The 1975,"The 1975 are an indie rock band which formed in 2002 in Manchester. The group played under several names, including Talkhouse, Drive Like I Do, Bigsleep, Forever Enjoying Sex and The Slowdown before settling on The 1975 in 2012. The band consists of Matthew Healy (vocals, guitar), Adam Hann (guitar), Ross MacDonald (bass), and George Daniel (drums). The group released their debut album, The 1975 on 2 September 2013 and their second album, I like it when you sleep, for you are so beautiful yet so unaware of it was released on 26 February 2016. <a href=""https://www.last.fm/music/The+1975"">Read more on Last.fm</a>"
Conan Gray,"Conan Gray is an American singer-songwriter and social media personality. He was born on December 5, 1998, in Lemon Grove, California. As an infant, his family moved to Hiroshima, Japan and short after returned to California, before settling in Georgetown, Texas.

He started his career on Youtube under his channel 'ConanxCanon' before officially changing to 'Conan Gray'.  While on his time on Youtube he released multiple original songs, with the most <a href=""https://www.last.fm/music/Conan+Gray"">Read more on Last.fm</a>"
Radiohead,"Radiohead are an English alternative rock band from Abingdon, Oxfordshire, UK which formed in 1985. The band is composed of Thom Yorke (lead vocals, rhythm guitar, piano, beats), Jonny Greenwood (lead guitar, keyboard, other instruments), Ed O'Brien (guitar, backing vocals), Colin Greenwood (bass guitar) and Phil Selway (drums, percussion).

The early years (1992 – 1995)
Radiohead released their first single, ""Creep"" in 1992. The song was initially unsuccessful <a href=""https://www.last.fm/music/Radiohead"">Read more on Last.fm</a>"
System Of A Down,"System of a Down is an Armenian American alternative metal band, formed in 1994 in Los Angeles, California, USA. All four members are of Armenian descent, and are widely known for their outspoken views expressed in many of their songs confronting the Armenian Genocide of 1915 by the Ottoman Empire and the ongoing War on Terror by the US government. The band consists of Serj Tankian (vocals), Daron Malakian (vocals, guitar), Shavo Odadjian (bass, vocals) and John Dolmayan (drums). <a href=""https://www.last.fm/music/System+of+a+Down"">Read more on Last.fm</a>"
Chelsea Cutler,"Chelsea Cutler is an aspiring young musician from New England.  <a href=""https://www.last.fm/music/Chelsea+Cutler"">Read more on Last.fm</a>"
Clairo,"Clairo is the stage name for singer-songwriter Claire Cottrill, whose song ""Pretty Girl"" went viral in late 2017 on YouTube. A 19 year-old, Clairo has opened a show for rapper Tyler, the Creator and had her music featured on The Le Sigh, a blog for female and nonbinary rising musicians. A freshman at Syracuse University, Clairo plans to abandon her lo-fi bedroom pop phase and become a full-fledged pop musician with the aid of Danny L. Harle in 2018, when she plans to release a new EP.
 <a href=""https://www.last.fm/music/Clairo"">Read more on Last.fm</a>"
Foo Fighters,"Foo Fighters are an American rock band formed by singer/guitarist/drummer Dave Grohl in 1995 in Seattle, USA. Grohl formed the group as a one-man project after the dissolution of his previous band Nirvana in 1994. Prior to the release of Foo Fighters in 1995, Grohl drafted Nate Mendel (bass), William Goldsmith (drums) (both of Sunny Day Real Estate and The Fire Theft), and Pat Smear (guitar) (of The Germs) to complete the group. Goldsmith left during the recording of the group's second album The Colour and the Shape (1997) <a href=""https://www.last.fm/music/Foo+Fighters"">Read more on Last.fm</a>"
Ashe,"Ashe writes much of her music. She went to Berklee College of Music, graduating in 2015.
She has lived in San Diego and talks about moving to Los Angeles. Ashe is signed to Mom+Pop; other artists on the label are Flume and Alina Baraz. Ashe put an e on her name to pay homage to Carole King. Artists she admires are Stevie Nicks, King, John Mayer, Justin Vernon, Bon Iver, and actress Diane Keaton. She has written a song for Demi Lovato, You Don't Do It For Me Any More. <a href=""https://www.last.fm/music/Ashe"">Read more on Last.fm</a>"
Avenged Sevenfold,"Avenged Sevenfold (often abbreviated to A7X) are a heavy metal/hard rock band which formed in 1999 in Huntington Beach, California, United States. The band consists of vocalist M. Shadows, lead guitarist Synyster Gates, rhythm guitarist Zacky Vengeance, bassist Johnny Christ, and former Bad Religion and Suicidal Tendencies drummer Brooks Wackerman. Heartbreakingly, the band's best friend and original drummer James ""The Rev"" Sullivan passed away in 2009. <a href=""https://www.last.fm/music/Avenged+Sevenfold"">Read more on Last.fm</a>"
Brent Faiyaz,"Christopher Brent Wood (born September 19, 1995) better known as Brent Faiyaz is an R&B singer/producer based out of Baltimore, Maryland.

His first single, “Natural Release”, was dropped on his soundcloud. On September 18, 2016 Faiyaz dropped his EP A.M. Paradox; catching the attention of Goldlink. Just 2 months later on December 16, 2016, Goldlink collabed with Faiyaz and Shy Glizzy (Now Young Jefe) to create the behemoth single “Crew”. <a href=""https://www.last.fm/music/Brent+Faiyaz"">Read more on Last.fm</a>"
Disturbed,"There are several acts by the name of Disturbed;

1) Disturbed is an American hard rock band from Chicago, Illinois, formed in 1994. The band includes vocalist David Draiman, bassist John Moyer, guitarist/keyboardist Dan Donegan, and drummer Mike Wengren. Former band members are vocalist Erich Awalt and bassist Steve Kmak.

The band has released six studio albums, five of which have consecutively debuted at number one on the Billboard 200. Disturbed went into hiatus in October 2011 <a href=""https://www.last.fm/music/Disturbed"">Read more on Last.fm</a>"
Gus Dapperton,"Gus Dapperton is an indie pop artist from Warwick, New York, United States.

Starting out as a hip-hop producer at the age of 13, Dapperton made the switch to his current sound after a serious hospitalisation and the failure of his laptop. 

Pairing infectious, nostalgia-laden tunes with high-concept filmclips, lauded for their high-concept cinematic execution, has proven to be a recipe for success. Blowing up through 2017, with two EPs dropped, and fans and the press alike taking notice, Dapperton's future looks bright.

 <a href=""https://www.last.fm/music/Gus+Dapperton"">Read more on Last.fm</a>"
Nickelback,"Nickelback is a rock band which formed in Hanna, Alberta, Canada in 1995. Nickelback is one of the most commercially successful Canadian groups, having sold 30 million records worldwide. Nickelback ranks as the 11th best selling music act of the 2000s, and places as the 2nd best selling foreign act in the US behind The Beatles for the 2000s.

The band consists of Chad Kroeger (vocals, guitar), Ryan Peake (guitar, vocals), Mike Kroeger (bass) and Daniel Adair (drums). <a href=""https://www.last.fm/music/Nickelback"">Read more on Last.fm</a>"
X Ambassadors,"X Ambassadors (also stylized XA) is an American rock band from Ithaca, New York. It currently consists of lead vocalist Sam Harris, keyboardist Casey Harris, lead guitarist Noah Feldshuh, and drummer Adam Levin. Their most notable songs include ""Jungle"", ""Renegades"", and ""Unsteady"". The band's debut full-length album, VHS, was released on June 30, 2015



 <a href=""https://www.last.fm/music/X+Ambassadors"">Read more on Last.fm</a>"
Florence + The Machine,"Florence + the Machine is a London, UK, art pop band led by singer-songwriter Florence Welch and formed in 2007.  The band consists of:  Florence Welch (vocals), Robert Ackroyd (guitar), Isabella Summers (aka Isa Machine - keyboards), Tom Monger (harp), Mark Saunders (bass, percussion), Christopher Lloyd Hayden (drums, backing vocals), Rusty Bradshaw (keyboard, backing vocals) and Sam White (backing vocals).  

Lead singer, Florence Welch, was an art-college drop-out <a href=""https://www.last.fm/music/Florence+%252B+the+Machine"">Read more on Last.fm</a>"
Ruel,"Ruel is a singer and songwriter from Sydney, Australia. M-Phazes discovered him at age 12 and he came to prominence after a Triple J ""Like A Version"" of ""Weathered"" by Jack Garratt. He also features on a cover of ""Human"" by Tom Thum. <a href=""https://www.last.fm/music/Ruel"">Read more on Last.fm</a>"
Bon Iver,"Bon Iver is a Grammy Award winning  folk band from Eau Claire, Wisconsin, United States, and one of Justin Vernon's current and most notable music projects to date. The band also consists of Mike Noyce, Sean Carey and Matt MacCaughan. 

The name 'Bon Iver' (pronounced ""bon ee-VAIR"") is a play on the French phrase 'bon hiver' meaning 'good winter'. Vernon independently released Bon Iver's debut album For Emma, Forever Ago in 2007, most of which was recorded during a four-month stay in a remote cabin in Wisconsin. <a href=""https://www.last.fm/music/Bon+Iver"">Read more on Last.fm</a>"
Dominic Fike,"Dominic Fike's six-track EP ""Don't Forget About Me, Demos [Explicit]"" was released on October 16, 2018 on Columbia Records after a label bidding war. Fike's mixture of rock and hip hop with an indie edge has quickly earned him fans across music streaming platforms. As of November 5, 2018, the most popular track on Fike's EP, ""3 Nights,"" had been streamed about 2.7 million times. <a href=""https://www.last.fm/music/Dominic+Fike"">Read more on Last.fm</a>"
Hillsong UNITED,"Hillsong United is an Australian worship band. They started as the youth ministry band from Hillsong Church in Australia. Their music is praise and worship with a contemporary style that is a mix of contemporary Christian music and mainstream rock. The band was formerly named ""United Live"" and was led by Reuben Morgan and Marty Sampson. United Live made its first album in 1999 after a suggestion from worship pastor Darlene Zschech to Reuben Morgan. <a href=""https://www.last.fm/music/Hillsong+United"">Read more on Last.fm</a>"
Quinn XCII,"Indie-pop artist Quinn XCII has emerged as one of 2016's most exciting new artists. Growing up in Detroit, Quinn XCII was raised on the city’s Motown musical history, fueling a passion for myriad musical genres from rock to reggae to funk to hip-hop. Three years ago, as a sophomore at Michigan State, Quinn XCII began to write and record his own music, quickly becoming a college mixtape sensation. Traveling frequently to Ann Arbor to record new material with his childhood friend producer ayokay <a href=""https://www.last.fm/music/Quinn+XCII"">Read more on Last.fm</a>"
Skillet,"Skillet is an American rock band formed in Memphis, Tennessee, consisting of all Christian members.

Skillet formed in 1996 with two members: John Cooper, former vocalist for Tennessee progressive rock band Seraph, and Ken Steorts, former guitarist for Urgent Cry. The two bands met through touring together, but those bands disbanded soon after, so John and Ken's pastor encouraged them to form their own band as a side-project. Coming from different styles of rock music, they decided to name the experiment Skillet. <a href=""https://www.last.fm/music/Skillet"">Read more on Last.fm</a>"
YUNGBLUD,"Yungblud is Dominic Harrison from Doncaster, United Kingdom, in indie rock musician whose début track, King Charles, a proper 21st century protest song, was released in the Summer of 2017. 'King Charles' is two and a half minutes of rage against the system. The tune's driving backbeat almost makes it resemble a hip-hop crossover. <a href=""https://www.last.fm/music/Yungblud"">Read more on Last.fm</a>"
Bea Miller,"Beatrice Annika Miller (born February 7, 1999) better known simply as Bea Miller is an American singer-songwriter and actress. She makes passionate, electronic-inflected pop music and is best known for competing on the second season of The X Factor. A native of Maplewood, New Jersey, Miller began performing at a young age and by her teens had garnered voice acting credits in such films as Ice Age 3 and Toy Story 3. In 2012, Miller auditioned for and <a href=""https://www.last.fm/music/Bea+Miller"">Read more on Last.fm</a>"
Carly Rae Jepsen,"Carly Rae Jepsen (born November 21, 1985) is a Juno-winning singer/songwriter from Mission, British Columbia, Canada. In the summer of 2007, she placed third in the fifth season of Canadian Idol. 

Her debut album Tug of War was released in Canada on September 30, 2008. An EP titled Curiosity was released on February 14, 2012. The lead single, Call Me Maybe, reached #1 in her native Canada and was certified 8x platinum, as well as peaking at #1 in the United States, where it is certified diamond. <a href=""https://www.last.fm/music/Carly+Rae+Jepsen"">Read more on Last.fm</a>"
Cavetown,"Cavetown is formally known as Robin Skinner, a 21-year-old singer/ songwriter from Cambridge, England. As of January 2018, he has released six independent albums, three single tracks and one collaborative album.

Cavetown has become increasingly popular on YouTube from a combination of both these original songs and covers that he has produced and uploaded. This has allowed him to perform gigs in the UK both locally and nationally, and also in other parts of the world such as California, USA.

http://www.cave.town/store









 <a href=""https://www.last.fm/music/Cavetown"">Read more on Last.fm</a>"
FINNEAS,"Finneas O'Connell (born July 30, 1997), also known mononymously as FINNEAS, is an American singer, songwriter, actor, and record producer. He grew up in Los Angeles, and began writing and producing songs at the age of 12. He is also known for his role as Alistair in the Fox TV series Glee.
Finneas was born to parents Maggie Baird, an actress, and Patrick O'Connell and has mainly Irish and Scottish ancestry. His sister is singer Billie Eilish, for whom he co-writes and produces music. <a href=""https://www.last.fm/music/FINNEAS"">Read more on Last.fm</a>"
MGMT,"MGMT are a psychedelic pop band which formed in 2002 in Middletown, Connecticut, United States. The band consists of  Andrew VanWyngarden (lead vocals, multiple instruments) and Ben Goldwasser (multiple instruments, vocals). The duo was signed to Columbia Records in 2006 and have since released four albums: ""Oracular Spectacular"" (2007), ""Congratulations"" (2010), ""MGMT"" (2013) and ""Little Dark Age"" (2018). They are best known for their 2008 singles ""Time to Pretend"", ""Electric Feel"" and ""Kids"", all of which were worldwide hits. <a href=""https://www.last.fm/music/MGMT"">Read more on Last.fm</a>"
Oh Wonder,"Oh Wonder are a London-based alt-pop duo, consisting of Josephine Vander Gucht and Anthony West. Since releasing their DIY debut album, they have seen international success with their mellow, slow-grooving, R&B-flecked alt-pop tunes. Beginning in September 2014, Anthony and Josephine set out to write, record, and release one song a month for a year. All of the songs were released together as a self-titled debut album on September 4, 2015.

Sold out shows in London <a href=""https://www.last.fm/music/Oh+Wonder"">Read more on Last.fm</a>"
Sasha Sloan,"Los Angeles-based songwriter Sasha Sloan got her start by contributing vocals to tracks for better-known electronic artists. Throughout 2017, Sloan was the voice for singles and standout songs by the likes of King Henry, Kaskade, and ODESZA. She also sang lead on Kygo's ""This Town"" from the Stargazing EP, a five-song collection where she joined guest appearances from Justin Jesso and Selena Gomez. By late 2017 she began releasing her own tracks, starting with the moody <a href=""https://www.last.fm/music/Sasha+Sloan"">Read more on Last.fm</a>"
Shinedown,"Shinedown is a Hard Rock band from Jacksonville, Florida. Shinedown was formed in early 2002 by Brent Smith, Jasin Todd, Brad Stewart, and Barry Kerch. They have released six albums on Atlantic Records: ""Leave a Whisper"" (2003),""Us and Them"" (2005), ""The Sound of Madness"" (2008), ""Amaryllis"" (2012), ""Threat to Survival"" (2015) and ""Attention Attention"" (2018). As of 2018, the band has had 23 Top 5 hits on Mainstream Rock radio, including 12 number one singles, and a Top 10 hit on the Hot 100 with ""Second Chance"". <a href=""https://www.last.fm/music/Shinedown"">Read more on Last.fm</a>"
Tom Walker,"There are several artists named Tom Walker;

1. Tom Walker is an Scottish born, Manchester raised, multi-instrumentalist and vocalist signed to Sony’s Relentless Records. During 2016, he released the songs ""Sun Goes Down"", ""Fly Away With Me"", ""Play dead"" and ""Just You And I (Acoustic)"".

2. Tom Walker is a heavy metal guitarist, bassist and vocalist from Milton Keynes, UK. He self-released a single named 'Downhill Flight' in January 2008, including a B-side named 'Love is a Killing Thing'. <a href=""https://www.last.fm/music/Tom+Walker"">Read more on Last.fm</a>"
alt-J,"Alt-J (sometimes stylised ∆) was formed when Gwil Sainsbury (guitar, bass), Joe Newman (guitar, vocals), Gus Unger-Hamilton (keyboards), and Thom Sonny Green (drums) met at Leeds, UK University in 2007. The band currently resides in Cambridge.

Unger-Hamilton studied English Literature; the other three Fine Art. In their second year of studies, Newman showed Sainsbury a handful of his own songs inspired by his guitar-playing dad and hallucinogens <a href=""https://www.last.fm/music/alt-J"">Read more on Last.fm</a>"
EDEN,"There are over 10 artists with the name Eden:

1. Jonathon Ng (born 23 December 1995), better known by his stage name EDEN is an Irish electronic music producer and singer-songwriter based in Dublin. He formerly operated as The Eden Project, an alias that was discontinued in 2015. Ng's work as The Eden Project featured more conventional styles of electronic dance music such as dubstep and drum and bass, while EDEN saw him venturing into a more indie pop style. <a href=""https://www.last.fm/music/Eden"">Read more on Last.fm</a>"
MARINA,"1) Marina Lambrini Diamandis (Greek: Μαρίνα-Λαμπρινή Διαμάντη; born 10 October, 1985) is a Welsh-Greek singer, known professionally as MARINA (previously Marina & the Diamonds).

Marina was born on the 10th October 1985 in Abergavenny, Wales. She began creating and producing her own music in 2005. In 2007, she released her debut EP, Mermaid vs. Sailor. She released her first single (a double A-side, Obsessions/Mowgli's Road) through Neon Gold Records on the 14th February 2009 <a href=""https://www.last.fm/music/Marina"">Read more on Last.fm</a>"
Sufjan Stevens,"Sufjan Stevens (pronounced ""SOOF-yahn""; born July 1, 1975) is an American musician, songwriter, and multi-instrumentalist from Petoskey, Michigan. He is known for his lyrically focused and instrumentally rich songs that often relate to faith and family. He has enjoyed wide critical success in the United States. He is considered part of the folk revival through indie pop, but his influences are very broad, including experimental electronic music, the jazz of Vince Guaraldi, and the academic minimalism of Steve Reich and Philip Glass.  <a href=""https://www.last.fm/music/Sufjan+Stevens"">Read more on Last.fm</a>"
Evanescence,"Evanescence is a Grammy-winning band founded in Little Rock, Arkansas, United States in 1995 by singer/pianist Amy Lee and guitarist Ben Moody (who left in 2003). 

After recording private albums, the band signed to Wind-up Records and released their first full-length album, Fallen, in 2003, which sold more than 15 million copies worldwide and helped the band win two Grammy Awards. A year later, they released their first live album, Anywhere But Home, which sold more than one million copies worldwide. <a href=""https://www.last.fm/music/Evanescence"">Read more on Last.fm</a>"
KAYTRANADA,"Louis Kevin Celestin (born August 25, 1992), known by his stage name Kaytranada, (stylized as KAYTRANADA, shortened as KAYTRA), is a Haitian-Canadian DJ and record producer. Celestin began his career under the alias Kaytradamus in 2010. In December 2014 he signed an exclusive recording agreement with XL Recordings. His debut album, 99.9%, was released on May 6, 2016. The album includes features from GoldLink, AlunaGeorge, Syd tha Kyd, Anderson Paak, and Vic Mensa among others. <a href=""https://www.last.fm/music/Kaytranada"">Read more on Last.fm</a>"
Lord Huron,"Lord Huron is an American indie band founded by Ben Schneider, a Michigan-born visual arts major. 

Origins
In the spring of 2010 Schneider traveled from Los Angeles to Northern Michigan. At Lake Huron, he developed songs for the first Lord Huron EP. He named the recording, Into the Sun. Upon his return to L.A., Schneider set to work putting a band together. The first to join him was his percussion-playing childhood friend Mark. Each of the band members of band hail from Michigan. <a href=""https://www.last.fm/music/Lord+Huron"">Read more on Last.fm</a>"
Oliver Tree,"Oliver Tree Nickell is an American vocalist, producer, and filmmaker from Santa Cruz, California. He signed to Atlantic Records in 2017, after his song ""When I'm Down"" went viral. He blurs the lines between meme and music with his strange and hilarious online presence.
 <a href=""https://www.last.fm/music/Oliver+Tree"">Read more on Last.fm</a>"
The Smashing Pumpkins,"The Smashing Pumpkins are an alternative rock band, formed in Chicago, Illinois, USA, in 1988. Billy Corgan and James Iha met in a record store, and began performing in local nightclubs with their bassist, D'arcy Wretzky, using a drum machine. Playing with a drum machine frustrated both the band and their audience, and so Chicago jazz drummer Jimmy Chamberlin was hired soon afterwards.

Less influenced by punk than many of their contemporaries, the Pumpkins had a densely layered <a href=""https://www.last.fm/music/The+Smashing+Pumpkins"">Read more on Last.fm</a>"
Tom Misch,"Thomas Abraham Misch (born 25 June 1995) is an English musician and producer. He began releasing music on SoundCloud in 2012 and released his debut studio album Geography in 2018. <a href=""https://www.last.fm/music/Tom+Misch"">Read more on Last.fm</a>"
Anson Seabra,"<a href=""https://www.last.fm/music/Anson+Seabra"">Read more on Last.fm</a>"
Au/Ra,"Jamie Lou Stenzel (born 15 May 2002), known by her stage name as Au/Ra, is an Antiguan singer-songwriter. Stenzel released her first single 'Concrete Jungle' in 2016, which quickly gained 15 million streams worldwide. She rose to prominence in 2018 with the CamelPhat version of her single ""Panic Room"" and was featured on Norwegian DJ Alan Walker's number-one single ""Darkside"" in the same year. The original version has more than 20 million streams worldwide. <a href=""https://www.last.fm/music/Au%2FRa"">Read more on Last.fm</a>"
Ed Maverick,"Eduardo Hernández Saucedo (Delicias, Chihuahua, México, 19 de enero de 2001) conocido artísticamente como Ed Maverick, es un cantante y compositor mexicano de música folk.1​2​ Es un joven artista emergente que saltó a la fama, principalmente, por redes y plataformas sociales.3​

Célebre por la ciber-efemérides semanal del día miércoles denominado ""Miércoles de mandar a chingar a su madre a Ed Maverick"", misma que se celebra a lo largo de casi todas las distintas naciones latinoamericanas [10]. <a href=""https://www.last.fm/music/Ed+Maverick"">Read more on Last.fm</a>"
KALEO,"Kaleo is an Icelandic indie pop / rock / folk band established in 2012 and their first major public appearance Iceland Airwaves Music Festival in November 2012. Their fame came through ""Vor í vaglaskógi"" as it was included on heavy rotation on Icelandic state broadcaster RÚV's radio station Rás 2 featuring on top of the stations Top 10.


 <a href=""https://www.last.fm/music/Kaleo"">Read more on Last.fm</a>"
